VA,SC,NC,GA,TN
457.0,558.0,497.0,962.0,717.0
419.0,1069.0,914.0,1679.0,1044.0
368.0,1227.0,1020.0,1699.0,995.0
397.0,872.0,994.0,1383.0,998.0
530.0,674.0,598.0,1846.0,907.0
421.0,632.0,779.0,2457.0,769.0
415.0,615.0,2062.0,1642.0,796.0
511.0,480.0,1334.0,1681.0,732.0
448.0,500.0,678.0,4014.0,740.0
445.0,440.0,647.0,1309.0,676.0
343.0,468.0,683.0,1117.0,725.0
433.0,398.0,719.0,2025.0,802.0
499.0,514.0,1018.0,1925.0,946.0
493.0,545.0,1028.0,1817.0,1090.0
511.0,481.0,1013.0,1857.0,1203.0
570.0,495.0,991.0,2052.0,1298.0
668.0,498.0,1109.0,2262.0,1340.0
791.0,523.0,1263.0,2542.0,1705.0
954.0,602.0,1497.0,2627.0,1844.0
1139.0,654.0,1583.0,2670.0,1938.0
1351.0,886.0,1921.0,3088.0,2236.0
1484.0,1051.0,2177.0,3385.0,2557.0
1641.0,1233.0,2343.0,3660.0,2637.0
1724.0,1432.0,2600.0,4714.0,2500.0
1903.0,1704.0,2816.0,5281.0,2741.0
2162.0,1928.0,3206.0,5765.0,2550.0
2143.0,1901.0,3098.0,5668.0,2098.0
1982.0,1727.0,2677.0,5311.0,1588.0
1754.0,1487.0,2320.0,3950.0,1259.0
1587.0,1255.0,1843.0,3606.0,1074.0
1309.0,977.0,1513.0,2905.0,896.0
1150.0,836.0,1182.0,2341.0,740.0
1003.0,684.0,987.0,2123.0,839.0
919.0,509.0,826.0,1603.0,558.0
816.0,481.0,814.0,1659.0,534.0
803.0,447.0,734.0,1516.0,624.0
814.0,445.0,712.0,1557.0,722.0
799.0,487.0,774.0,1280.0,679.0
815.0,487.0,768.0,1393.0,720.0
824.0,456.0,931.0,1460.0,733.0
741.0,439.0,935.0,1363.0,714.0
587.0,361.0,858.0,1365.0,610.0
562.0,297.0,752.0,1303.0,574.0
444.0,253.0,719.0,1040.0,502.0
364.0,206.0,570.0,998.0,397.0
340.0,180.0,538.0,845.0,352.0
245.0,142.0,453.0,699.0,253.0
208.0,108.0,378.0,724.0,225.0
168.0,98.0,360.0,635.0,159.0
183.0,84.0,314.0,635.0,148.0
168.0,91.0,320.0,599.0,163.0
184.0,173.0,339.0,775.0,224.0
230.0,264.0,511.0,1011.0,378.0
335.0,371.0,769.0,1542.0,606.0
426.0,780.0,1117.0,2575.0,1048.0
622.0,1129.0,1532.0,3575.0,1558.0
927.0,1469.0,2126.0,4514.0,1987.0
1068.0,1913.0,2457.0,5064.0,2200.0
1271.0,2127.0,2599.0,5665.0,2558.0
1441.0,2239.0,2714.0,5190.0,2902.0
1536.0,2325.0,2568.0,4669.0,2710.0
1554.0,1987.0,2358.0,3707.0,2242.0
1464.0,1485.0,2249.0,3119.0,1814.0
1248.0,1151.0,1759.0,2647.0,1432.0
1102.0,882.0,1602.0,2369.0,1152.0
1043.0,678.0,1363.0,1860.0,1007.0
829.0,485.0,903.0,1303.0,746.0
689.0,420.0,790.0,1138.0,585.0
618.0,353.0,762.0,963.0,505.0
620.0,348.0,711.0,943.0,513.0
588.0,357.0,804.0,900.0,595.0
709.0,317.0,894.0,769.0,681.0
880.0,407.0,994.0,895.0,785.0
1100.0,450.0,1222.0,1023.0,879.0
1100.0,473.0,1350.0,1315.0,838.0
1337.0,624.0,1563.0,1986.0,1017.0
2427.0,1298.0,2391.0,4187.0,1825.0
3369.0,1974.0,3399.0,5921.0,2436.0
3267.0,2570.0,4104.0,5914.0,2737.0
3085.0,2749.0,4096.0,4915.0,2852.0
2586.0,2719.0,4282.0,4605.0,2975.0
1986.0,1837.0,3232.0,3726.0,2430.0
1495.0,1317.0,2346.0,2355.0,1863.0
1105.0,824.0,1684.0,1612.0,1349.0
772.0,511.0,1181.0,1197.0,866.0
513.0,372.0,776.0,876.0,524.0
369.0,256.0,508.0,648.0,317.0
321.0,161.0,365.0,421.0,249.0
226.0,124.0,310.0,341.0,165.0
233.0,88.0,267.0,293.0,111.0
168.0,72.0,244.0,253.0,96.0
178.0,71.0,275.0,276.0,121.0
273.0,99.0,285.0,250.0,100.0
230.0,118.0,364.0,322.0,153.0
383.0,158.0,422.0,313.0,147.0
443.0,163.0,534.0,355.0,228.0
606.0,313.0,609.0,467.0,297.0
601.0,282.0,732.0,510.0,308.0
657.0,323.0,828.0,664.0,370.0
713.0,388.0,783.0,741.0,460.0
739.0,397.0,787.0,807.0,479.0
664.0,477.0,772.0,956.0,638.0
712.0,439.0,903.0,1080.0,649.0
769.0,554.0,874.0,1255.0,726.0
831.0,585.0,1038.0,1486.0,837.0
873.0,731.0,1194.0,1715.0,835.0
918.0,736.0,1265.0,1739.0,826.0
919.0,776.0,1213.0,1575.0,857.0
1000.0,700.0,1260.0,1552.0,806.0
926.0,669.0,1083.0,1499.0,789.0
839.0,666.0,1034.0,1511.0,804.0
845.0,555.0,977.0,1167.0,792.0
774.0,499.0,1029.0,1036.0,683.0
703.0,389.0,876.0,908.0,540.0
585.0,299.0,885.0,713.0,431.0
534.0,282.0,766.0,599.0,381.0
591.0,271.0,667.0,524.0,324.0
503.0,233.0,538.0,531.0,301.0
453.0,220.0,565.0,522.0,342.0
501.0,249.0,567.0,564.0,336.0
576.0,265.0,558.0,532.0,366.0
542.0,249.0,511.0,564.0,348.0
475.0,188.0,464.0,647.0,355.0
