state,2019/12/29,2020/1/5,2020/1/12,2020/1/19,2020/1/26,2020/2/2,2020/2/9,2020/2/16,2020/2/23,2020/3/1,2020/3/8,2020/3/15,2020/3/22,2020/3/29,2020/4/5,2020/4/12,2020/4/19,2020/4/26,2020/5/3,2020/5/10,2020/5/17,2020/5/24,2020/5/31,2020/6/7,2020/6/14,2020/6/21,2020/6/28,2020/7/5,2020/7/12,2020/7/19,2020/7/26,2020/8/2,2020/8/9,2020/8/16,2020/8/23,2020/8/30,2020/9/6,2020/9/13,2020/9/20,2020/9/27,2020/10/4,2020/10/11,2020/10/18,2020/10/25,2020/11/1,2020/11/8,2020/11/15,2020/11/22,2020/11/29,2020/12/6,2020/12/13,2020/12/20,2020/12/27,2021/1/3,2021/1/10,2021/1/17,2021/1/24,2021/1/31,2021/2/7,2021/2/14,2021/2/21,2021/2/28,2021/3/7,2021/3/14,2021/3/21,2021/3/28,2021/4/4,2021/4/11,2021/4/18,2021/4/25,2021/5/2,2021/5/9,2021/5/16,2021/5/23,2021/5/30,2021/6/6,2021/6/13,2021/6/20,2021/6/27,2021/7/4,2021/7/11,2021/7/18,2021/7/25,2021/8/1,2021/8/8,2021/8/15,2021/8/22,2021/8/29,2021/9/5,2021/9/12,2021/9/19,2021/9/26,2021/10/3,2021/10/10,2021/10/17,2021/10/24,2021/10/31,2021/11/7,2021/11/14,2021/11/21,2021/11/28,2021/12/5,2021/12/12,2021/12/19,2021/12/26,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27,2022/4/3,2022/4/10,2022/4/17,2022/4/24,2022/5/1,2022/5/8,2022/5/15,2022/5/22,2022/5/29,2022/6/5,2022/6/12,2022/6/19,2022/6/26,2022/7/3,2022/7/10,2022/7/17,2022/7/24,2022/7/31,2022/8/7,2022/8/14,2022/8/21,2022/8/28,2022/9/4,2022/9/11,2022/9/18,2022/9/25,2022/10/2,2022/10/9,2022/10/16,2022/10/23,2022/10/30,2022/11/6,2022/11/13
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,1003,871,696,726,776,879,851,766,750,800,748,793,874,1045,1103,1131,1314,1387,1537,1976,2281,2667,2834,2936,3098,2715,2206,1829,1556,1192,955,717,558,457,552,452,390,379,388,453,411,462,501,345,329,263,216,181,208,499,318,556,1188,1872,2118,2603,2582,2536,2673,2352,1709,1156,837,741,554,427,388,284,293,266,267,342,341,363,499,1154,1888,2478,2837,2974,2241,1548,1001,673,446,305,203,151,130,118,104,110,130,109,175,173,210,324,327,423,560,638,700,847,890,852,809,801,726,714,686,529,427,306,300,260,242,240,249,229,224,278
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,417,433,498,470,464,376,351,362,396,453,484,592,694,626,604,704,848,945,917,987,1037,1110,1095,1226,1285,1138,1046,864,741,628,451,383,259,197,203,133,148,179,171,175,255,248,242,253,256,236,254,324,401,449,672,779,972,1120,1223,1411,1297,1136,1055,904,892,729,536,494,411,370,326,282,270,322,356,463,496,539,481,762,1078,1458,1861,1924,1595,1148,805,445,377,289,201,178,147,155,138,121,75,100,132,88,97,140,187,215,255,312,396,488,497,454,433,422,389,340,343,292,336,272,221,179,131,125,131,146,123,158
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,1737,1142,767,777,690,583,482,472,333,377,366,480,546,668,692,951,1253,1699,2009,2797,3233,3368,3595,3919,4262,3933,3683,3027,2300,1755,1219,975,726,625,547,512,451,490,432,483,529,479,435,424,463,381,370,445,444,485,435,668,732,1036,1155,1350,1424,1445,1609,1534,1430,1318,1220,1236,1228,1265,1425,1620,1811,1914,2086,2234,2131,1885,1790,2159,2732,3390,3842,3662,3004,2227,1681,1099,876,656,457,442,312,475,256,260,268,337,400,408,469,594,682,701,798,786,793,924,940,751,735,747,622,488,440,353,319,302,276,293,264,345,361,524,735,899
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2811,4713,5528,4990,4327,3487,3078,2884,2633,2278,2244,2293,2342,2316,2389,2570,2936,3638,5147,7185,9159,12159,15169,15770,16021,16358,14890,12757,10265,8324,6231,4710,3732,3064,2648,2396,2116,1966,1828,1891,1713,1690,1515,1327,1338,1141,1111,1006,962,1052,1274,1457,2054,2980,4123,5476,6339,6913,6636,6075,5060,4410,3854,3112,2890,2776,2968,3048,2945,2652,2435,2318,2540,2766,2700,3234,6836,11758,14886,14875,12932,9736,7464,5042,3609,2888,2047,1600,1505,960,978,908,1023,1166,1424,1694,2240,2610,2948,3418,3410,4001,4368,4967,5230,5208,4857,4571,4099,3935,3810,3403,3215,2771,2278,2163,2013,1962,1842,1817,1984,2368,2965
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,318,342,360,253,172,147,160,123,157,205,220,335,458,629,764,1198,1550,1858,1934,1826,1672,1350,1168,1023,967,910,823,694,605,536,516,488,407,363,429,452,495,626,537,699,806,819,677,627,519,464,363,296,300,350,362,318,404,486,601,664,852,861,993,987,959,979,992,1104,1245,1323,1377,1566,1665,1698,1581,1496,1286,1002,1235,1754,2404,2421,2080,2115,1208,822,598,418,281,216,152,129,124,110,129,189,179,276,276,350,765,519,710,578,589,647,707,647,592,504,516,455,367,364,341,327,310,252,276,237,256,320,381,533,607,718
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48,59,121,60,85,68,71,61,94,71,126,125,168,215,298,411,679,695,821,959,1036,937,1020,945,1074,1089,947,855,788,622,576,523,516,541,494,623,617,708,617,549,495,425,305,227,121,110,76,62,62,46,44,69,117,153,244,298,373,359,294,323,263,244,258,233,208,202,185,198,229,262,338,480,682,781,737,1446,1988,1892,1553,1096,746,500,328,277,197,203,147,131,148,190,221,252,367,369,433,464,455,402,375,312,374,361,400,394,394,446,438,428,442,434,402,406,430,509,492,524,497,491,457,439,434,416
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,268,152,106,105,85,80,79,90,66,80,71,85,56,90,85,88,125,134,138,204,220,199,232,238,261,277,211,203,232,159,176,135,115,131,115,133,126,141,127,120,106,87,71,50,50,55,38,30,32,31,15,23,22,28,47,100,189,126,104,135,110,100,83,81,63,46,47,36,34,48,51,81,95,153,311,633,605,554,320,237,129,104,87,60,67,48,23,14,22,28,26,35,68,64,67,100,97,99,103,115,108,128,123,150,134,143,153,151,142,138,107,106,93,87,103,62,67,78,77,100,95,74
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,8,34,47,67,59,48,39,49,72,89,99,84,75,99,145,161,247,373,345,350,335,329,379,368,350,263,232,190,137,134,84,85,102,114,132,146,172,154,134,95,80,69,55,39,20,17,12,10,21,20,25,17,72,111,177,197,175,214,189,200,183,173,187,143,132,118,118,150,166,203,244,321,273,453,699,673,495,407,272,189,122,85,71,46,46,44,43,49,34,50,66,122,131,151,138,148,112,120,102,105,105,142,148,157,151,158,168,142,140,108,96,115,125,111,111,74,86,83,73,75
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3326,5722,5202,4558,4054,3530,3009,2582,2175,2109,1916,1840,2065,2032,2292,3058,2924,3434,3785,4124,4631,5013,5698,6162,7382,8070,7705,7193,6479,5768,4978,4696,4216,3802,3345,3217,3263,3290,3583,3793,3735,3548,3010,2867,2376,2281,1842,1744,1743,1788,2147,3233,4876,8006,11419,14561,15674,15485,13608,11543,9195,7090,5320,3904,3161,2464,2012,1636,1422,1276,1311,1172,1260,1392,1764,3528,8764,13708,14474,12855,10493,8100,6068,4239,2905,1983,1509,1101,929,883,859,1028,1139,1445,1726,2056,2490,3117,3506,4082,4381,4615,4849,5166,5348,5488,5397,5211,4802,4272,3720,3413,2943,2671,2300,1760,1423,1331,1230,1456,1418,1441,1458
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,1679,1699,1383,1846,2457,1642,1681,4014,1309,1117,2025,1925,1817,1857,2052,2262,2542,2627,2670,3088,3385,3660,4714,5281,5765,5668,5311,3950,3606,2905,2341,2123,1603,1659,1516,1557,1280,1393,1460,1363,1365,1303,1040,998,845,699,724,635,635,599,775,1011,1542,2575,3575,4514,5064,5665,5190,4669,3707,3119,2647,2369,1860,1303,1138,963,943,900,769,895,1023,1315,1986,4187,5921,5914,4915,4605,3726,2355,1612,1197,876,648,421,341,293,253,276,250,322,313,355,467,510,664,741,807,956,1080,1255,1486,1715,1739,1575,1552,1499,1511,1167,1036,908,713,599,524,531,522,564,532,564,647
